loss,params,status,train_time,trial
7.981928622350097,"{'batch_size': 1, 'learn_rate': 0.03467669194048641, 'optimizer': 'sgd'}",ok,69.88838316699912,58
16.005601316690445,"{'batch_size': 2, 'learn_rate': 0.010740831790513354, 'optimizer': 'rmsprop'}",ok,67.8282592229989,59
8.928992182016373,"{'batch_size': 2, 'learn_rate': 0.19874164693387184, 'optimizer': 'rmsprop'}",ok,67.50719610799933,60
3.505005883052945,"{'batch_size': 2, 'learn_rate': 0.10518093259491669, 'optimizer': 'rmsprop'}",ok,66.70046243899924,61
7.616059729829431,"{'batch_size': 1, 'learn_rate': 0.12967356621871098, 'optimizer': 'adam'}",ok,69.5105017800015,62
3.439579166471958,"{'batch_size': 2, 'learn_rate': 0.1005632334190374, 'optimizer': 'rmsprop'}",ok,66.93082100299944,63
3.737846137955785,"{'batch_size': 2, 'learn_rate': 0.023272036871824695, 'optimizer': 'sgd'}",ok,65.92078471700006,64
18.9114388525486,"{'batch_size': 2, 'learn_rate': 0.005054613668035842, 'optimizer': 'rmsprop'}",ok,68.12754741500248,65
14.063711822032928,"{'batch_size': 2, 'learn_rate': 0.10528721573051521, 'optimizer': 'rmsprop'}",ok,67.5713876459995,66
4.0372403264045715,"{'batch_size': 2, 'learn_rate': 0.15542075930993912, 'optimizer': 'rmsprop'}",ok,66.3087010579984,67
3.8137931879609823,"{'batch_size': 2, 'learn_rate': 0.09290031714348593, 'optimizer': 'rmsprop'}",ok,66.94707321399983,68
3.980526875704527,"{'batch_size': 2, 'learn_rate': 0.0800423944085967, 'optimizer': 'rmsprop'}",ok,66.38314116900074,69
3.9685344137251377,"{'batch_size': 2, 'learn_rate': 0.11484486777413445, 'optimizer': 'rmsprop'}",ok,66.00962117200106,70
3.909805351868272,"{'batch_size': 2, 'learn_rate': 0.14603518018561612, 'optimizer': 'rmsprop'}",ok,66.65211066799748,71
3.5500823706388474,"{'batch_size': 2, 'learn_rate': 0.06998561160060175, 'optimizer': 'rmsprop'}",ok,66.81450525200125,72
4.161125345155597,"{'batch_size': 2, 'learn_rate': 0.06090319779242042, 'optimizer': 'rmsprop'}",ok,66.36147662599979,73
4.143968269228935,"{'batch_size': 2, 'learn_rate': 0.1729884885498212, 'optimizer': 'rmsprop'}",ok,66.10950731199773,74
3.998132422566414,"{'batch_size': 2, 'learn_rate': 0.0976306720779067, 'optimizer': 'rmsprop'}",ok,66.64549714600071,75
4.073147069662809,"{'batch_size': 2, 'learn_rate': 0.18404901593304104, 'optimizer': 'rmsprop'}",ok,65.75447171199994,76
3.4270590376108885,"{'batch_size': 2, 'learn_rate': 0.04208419563368621, 'optimizer': 'rmsprop'}",ok,67.16662572299902,77
4.069944076240063,"{'batch_size': 2, 'learn_rate': 0.05279900542326192, 'optimizer': 'adam'}",ok,66.3336319580012,78
8.906565215438604,"{'batch_size': 1, 'learn_rate': 0.04505984248739188, 'optimizer': 'rmsprop'}",ok,70.72454807500253,79
4.3474813811481,"{'batch_size': 2, 'learn_rate': 0.021339338955780385, 'optimizer': 'sgd'}",ok,66.53026044199942,80
18.943066269159317,"{'batch_size': 2, 'learn_rate': 0.014016835285574238, 'optimizer': 'rmsprop'}",ok,67.7743169000023,81
6.982149973511696,"{'batch_size': 2, 'learn_rate': 0.035867183558815345, 'optimizer': 'rmsprop'}",ok,66.81455979600287,82
4.535344164818525,"{'batch_size': 2, 'learn_rate': 0.030617710505774585, 'optimizer': 'adam'}",ok,66.62891787199987,83
10.739409506320953,"{'batch_size': 1, 'learn_rate': 0.06394904200860016, 'optimizer': 'rmsprop'}",ok,71.12930204800068,84
4.158454803749919,"{'batch_size': 2, 'learn_rate': 0.04350058335566611, 'optimizer': 'rmsprop'}",ok,66.47216384000058,85
3.708464201539755,"{'batch_size': 2, 'learn_rate': 0.01919940959859445, 'optimizer': 'sgd'}",ok,66.11007608900036,86
21.328568637371063,"{'batch_size': 2, 'learn_rate': 0.006126700222120285, 'optimizer': 'rmsprop'}",ok,68.04287589600062,87
20.10434940457344,"{'batch_size': 1, 'learn_rate': 0.026092094719897957, 'optimizer': 'rmsprop'}",ok,70.5352051339978,88
4.690485700964928,"{'batch_size': 2, 'learn_rate': 0.05552935969561987, 'optimizer': 'adam'}",ok,66.60746972299967,89
4.704325124621391,"{'batch_size': 2, 'learn_rate': 0.0387866866941424, 'optimizer': 'rmsprop'}",ok,67.58965404600167,90
4.437888264656067,"{'batch_size': 2, 'learn_rate': 0.07663563724095705, 'optimizer': 'sgd'}",ok,66.84658738899816,91
11.416182816028595,"{'batch_size': 2, 'learn_rate': 0.08875057264495463, 'optimizer': 'rmsprop'}",ok,67.63279328700082,92
6.377727745100856,"{'batch_size': 1, 'learn_rate': 0.12687376992242652, 'optimizer': 'rmsprop'}",ok,70.17825728699972,93
3.342738013714552,"{'batch_size': 2, 'learn_rate': 0.03231040022506219, 'optimizer': 'adam'}",ok,66.35758177899697,94
7.29887430369854,"{'batch_size': 2, 'learn_rate': 0.008798700170366242, 'optimizer': 'adam'}",ok,67.81659981899793,95
16.269493997097015,"{'batch_size': 2, 'learn_rate': 0.016751389952734237, 'optimizer': 'adam'}",ok,67.61158298699957,96
11.610034391283989,"{'batch_size': 2, 'learn_rate': 0.01487823372718462, 'optimizer': 'adam'}",ok,67.58902734900039,97
18.370625346899033,"{'batch_size': 1, 'learn_rate': 0.011691933036842145, 'optimizer': 'adam'}",ok,70.9700641290001,98
15.152322143316269,"{'batch_size': 2, 'learn_rate': 0.028549157228036182, 'optimizer': 'adam'}",ok,67.78815825999845,99
